encoded_bits,char,code
001111110100110110000001111000010110110000010100010010111110011000000100100000101110010111000001010101100000101000100101110010111100110000010110100101101101010100100110001011110000010111001011100000101010110000010100010010111001011110011000001011010010110110101010000011111101001101100000011110000101101100000101000100101111100110001000000001011101101100000011111101001101100000011110000101101100000101000100101111100110000001001000001011100101110000010101011000001010001001011100101111001100000101101001011011010101001001100010111000010001110110110010000110101000101000010001110000101110010111000001010101100000101000100101110010111100110000010110100101101101010100000111111010011011000000111100001011011000001010001001011111001101011111,,
,P,00111
,e,11
,t,10100
,r,0110
,space,000
,i,1000
,p,010
,c,1001
,k,0111
,d,00110
,a,0010010
,o,001010
,f,10110
,l,001011
,s,10101
,",",0010011
,A,1011110
,;,00100000
,I,1011101
,W,1011100
,h,0010001
,',00100001
,?,1011111
